launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
101.313152, 628415.105876, 5107456.003885, 102.122331, 628451.502539, 5107492.400548, 0.809179, 51.472655
120.000000, 628438.314268, 5107495.568330, 120.555278, 628476.154790, 5107481.795506, 0.555278, 40.269043
146.334485, 628454.167774, 5107515.001952, 147.578548, 628531.096914, 5107487.002035, 1.244062, 81.866281
328.622752, 628159.350735, 5107264.894815, 329.734379, 628196.437852, 5107266.838469, 1.111627, 37.138013
2929.933300, 628244.678097, 5107188.836409, 2930.382273, 628279.608025, 5107203.663284, 0.448972, 37.946490
2962.271829, 628229.048554, 5107147.561988, 2962.766564, 628285.194730, 5107147.561988, 0.494735, 56.146176
2976.457397, 627970.338892, 5107624.562449, 2976.790979, 628005.107846, 5107624.562449, 0.333582, 34.768955
3000.000000, 628013.381523, 5107615.964516, 3000.468585, 628058.443695, 5107611.228291, 0.468585, 45.310386
3019.233815, 627917.265461, 5107513.003062, 3019.534806, 627948.581944, 5107509.711567, 0.300991, 31.488983
3019.233815, 628016.545283, 5107635.887016, 3020.237745, 628083.689448, 5107628.829880, 1.003930, 67.514014
3060.000000, 627904.027377, 5107509.300355, 3060.515482, 627938.890528, 5107493.778280, 0.515482, 38.162470
3107.392719, 628206.663365, 5107108.349602, 3108.432548, 628287.096514, 5107072.538457, 1.039829, 88.045043
3170.088985, 628202.724561, 5107089.339483, 3171.055497, 628271.011917, 5107095.313852, 0.966512, 68.548202
3235.027391, 627862.468942, 5107555.735929, 3235.531032, 627891.018510, 5107531.779998, 0.503640, 37.268813
