launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
19.636746, 626768.015401, 5108603.550933, 20.556526, 626801.305388, 5108643.224395, 0.919780, 51.790027
20.146060, 628192.387365, 5109348.597386, 21.065840, 628239.251676, 5109404.448097, 0.919780, 72.907926
20.146060, 627994.194911, 5109394.741527, 21.002640, 628038.904457, 5109448.024289, 0.856580, 69.555706
42.076590, 628256.932091, 5109332.010070, 43.043102, 628303.267195, 5109387.230095, 0.966512, 72.084624
42.076590, 627742.850348, 5109472.674106, 43.224115, 627798.971539, 5109539.556737, 1.147526, 87.309073
42.076590, 627734.839324, 5109470.374594, 42.580230, 627758.794991, 5109498.923847, 0.503640, 37.268403
116.752172, 625838.127422, 5109425.020454, 117.960336, 625902.495241, 5109489.388273, 1.208164, 91.029843
60.000000, 627655.450451, 5109474.390286, 60.435898, 627680.453367, 5109499.393202, 0.435898, 35.359464
94.715232, 628189.651236, 5109395.379662, 95.619212, 628239.941984, 5109445.670409, 0.903980, 71.121857
113.093983, 628047.877686, 5109427.815498, 113.934763, 628097.585971, 5109477.523784, 0.840780, 70.298132
113.093983, 627908.104099, 5109459.823739, 113.536418, 627933.178488, 5109484.898129, 0.442435, 35.460542
60.000000, 628241.197254, 5109392.702686, 60.435898, 628266.951089, 5109418.456521, 0.435898, 36.421423
86.795299, 628032.641528, 5109475.589007, 87.237734, 628058.269660, 5109501.217139, 0.442435, 36.243651
120.000000, 626217.090330, 5109262.413813, 120.442435, 626252.892810, 5109249.382776, 0.442435, 38.100203
120.000000, 627698.192440, 5109175.357678, 121.183425, 627749.610755, 5109156.642942, 1.183425, 54.718228
133.080212, 625902.032078, 5109486.063837, 134.263637, 625951.776179, 5109467.958465, 1.183425, 52.936566
120.000000, 627933.025262, 5109483.365112, 120.442435, 627966.347271, 5109471.236893, 0.442435, 35.460542
168.015130, 627934.984714, 5109466.423911, 168.464102, 627968.529141, 5109454.214738, 0.448972, 35.697234
201.634938, 628179.284660, 5109168.626023, 203.148690, 628245.660620, 5109099.891704, 1.513751, 95.551947
240.000000, 628301.628977, 5109236.592366, 241.039829, 628344.113780, 5109234.365832, 1.039829, 42.543107
240.000000, 628351.014305, 5109443.021276, 241.398818, 628418.041190, 5109439.508545, 1.398818, 67.118869
267.893139, 628121.619484, 5109086.422935, 269.112462, 628177.832815, 5109083.476919, 1.219323, 56.290475
267.893139, 628300.997554, 5109362.475068, 268.968867, 628346.434976, 5109360.093794, 1.075728, 45.499778
267.893139, 628071.016719, 5109522.371831, 268.859651, 628124.424949, 5109519.572824, 0.966512, 53.481524
341.752715, 626929.528811, 5108186.485159, 342.719227, 626968.205150, 5108188.512100, 0.966512, 38.729416
351.597389, 628187.544507, 5109122.848150, 352.601319, 628221.995729, 5109124.653662, 1.003930, 34.498500
300.000000, 628363.729783, 5109247.403216, 301.075728, 628401.750313, 5109249.395788, 1.075728, 38.072707
1467.313420, 626861.355025, 5108113.947589, 1467.717404, 626888.272494, 5108129.488397, 0.403984, 31.081617
1484.630235, 626860.395220, 5108105.056663, 1485.486815, 626918.090692, 5108138.367159, 0.856580, 66.620993
1484.630235, 626975.428683, 5108299.974751, 1485.053058, 627006.522128, 5108317.926560, 0.422823, 35.903618
1484.630235, 626789.333650, 5108699.802866, 1485.111895, 626820.824531, 5108717.984134, 0.481660, 36.362537
1464.833836, 628015.385465, 5109573.467335, 1465.769416, 628077.733737, 5109609.464127, 0.935581, 71.993584
1464.833836, 627543.116381, 5109408.412992, 1465.276271, 627573.706407, 5109426.074152, 0.442435, 35.322319
1500.000000, 627549.047917, 5109189.281556, 1500.455510, 627584.347417, 5109195.505810, 0.455510, 35.844052
1538.273832, 626829.573535, 5108709.484279, 1539.209412, 626881.041754, 5108718.559515, 0.935581, 52.262199
1616.942631, 626825.885327, 5108688.103473, 1617.371991, 626855.020953, 5108707.024370, 0.429360, 34.740251
1560.000000, 625733.072877, 5109489.120469, 1560.966512, 625792.968206, 5109528.016950, 0.966512, 71.416992
1602.088791, 625941.236089, 5109588.748768, 1603.236317, 626003.723528, 5109629.328585, 1.147526, 74.507728
1602.088791, 625837.384322, 5109605.664196, 1603.164519, 625902.678113, 5109648.066480, 1.075728, 77.853920
1602.088791, 625796.612617, 5109491.517829, 1603.092721, 625853.903048, 5109528.722670, 1.003930, 68.311007
1560.000000, 627535.949481, 5109182.678249, 1561.075728, 627591.639129, 5109218.843530, 1.075728, 66.402292
1560.000000, 628208.975009, 5108992.587478, 1560.475122, 628239.615776, 5109012.485825, 0.475122, 36.534925
1571.851021, 627516.786290, 5109463.869494, 1572.817533, 627577.266554, 5109503.145836, 0.966512, 72.114447
1584.014181, 628431.603083, 5109280.960295, 1585.269403, 628506.043508, 5109329.302472, 1.255222, 88.760031
1584.014181, 628434.697673, 5109303.221839, 1584.463153, 628464.510819, 5109322.582723, 0.448972, 35.548102
1584.014181, 628299.800485, 5109566.446109, 1585.125808, 628373.545359, 5109614.336590, 1.111627, 87.930680
1597.134969, 628366.098668, 5109124.224846, 1598.246596, 628426.328071, 5109163.338278, 1.111627, 71.815329
1597.134969, 628034.671736, 5109632.055256, 1597.583942, 628064.692110, 5109651.550715, 0.448972, 35.795192
1597.134969, 627709.110253, 5109708.250317, 1597.623167, 627739.194316, 5109727.787136, 0.488197, 35.871132
1610.407758, 628439.236927, 5109290.731877, 1611.662980, 628503.513648, 5109332.473667, 1.255222, 76.641203
1610.407758, 628439.236927, 5109290.731877, 1610.856730, 628469.123795, 5109310.140636, 0.448972, 35.636004
1610.407758, 628301.185020, 5109576.699269, 1610.856730, 628331.738525, 5109596.540947, 0.448972, 36.430877
1610.407758, 628115.727257, 5109604.401905, 1610.923240, 628145.409294, 5109623.677645, 0.515482, 35.391771
1620.000000, 625815.214409, 5109545.567357, 1621.003930, 625866.214740, 5109550.927707, 1.003930, 51.281254
1666.601180, 625928.166831, 5109557.554451, 1667.748705, 625984.725249, 5109563.498980, 1.147526, 56.869958
1638.392804, 628383.230535, 5109122.198275, 1639.648027, 628448.823325, 5109129.092355, 1.255222, 65.954093
1657.180370, 628530.359295, 5109420.488329, 1657.989549, 628582.735596, 5109425.993301, 0.809179, 52.664805
1675.905744, 628513.078507, 5109395.795708, 1676.793924, 628566.212525, 5109401.380319, 0.888180, 53.426695
1627.359595, 628141.238130, 5109623.244996, 1628.543019, 628206.673851, 5109630.122567, 1.183425, 65.796159
1637.970269, 628151.148673, 5109624.499083, 1639.153694, 628216.927595, 5109631.412726, 1.183425, 66.141251
1680.000000, 626773.568006, 5107992.752828, 1680.872380, 626805.568927, 5108011.980921, 0.872380, 37.333343
