launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
0.000000, 628302.572254, 5107371.328313, 0.300900, 628340.037694, 5107316.367870, 0.300900, 66.515483
60.000000, 628121.786729, 5107369.036563, 60.431922, 628082.354133, 5107290.473488, 0.431922, 87.903848
120.000000, 628414.468525, 5107417.663127, 121.044107, 628284.865873, 5107049.298551, 1.044107, 390.498795
120.000000, 628429.605080, 5107454.189588, 121.327909, 628278.263241, 5107025.541486, 1.327909, 454.580629
138.973888, 628440.895796, 5107450.865694, 139.653126, 628354.354296, 5107211.143928, 0.679238, 254.864584
134.698379, 628089.081052, 5107274.403472, 135.001991, 628045.628606, 5107148.208407, 0.303613, 133.466511
134.698379, 628061.267211, 5107291.762476, 135.087545, 628003.285079, 5107138.246658, 0.389167, 164.100683
192.857845, 628449.326014, 5107472.181438, 194.114812, 628212.231922, 5107116.505473, 1.256967, 427.456431
201.793937, 628244.229376, 5107188.118867, 202.115422, 628189.180331, 5107107.323724, 0.321485, 97.766315
221.595105, 628148.146060, 5107154.517256, 221.925330, 628077.846464, 5107052.766904, 0.330225, 123.673632
235.691335, 628269.839949, 5107215.045948, 235.922173, 628223.529544, 5107146.387949, 0.230838, 82.816511
235.691335, 628019.611115, 5107361.312950, 235.917488, 627976.053741, 5107298.643264, 0.226153, 76.319948
213.615887, 628262.889030, 5107097.427493, 214.100929, 628166.863325, 5106960.288573, 0.485042, 167.415708
213.615887, 628262.889030, 5107097.427493, 213.907251, 628200.364284, 5107008.132901, 0.291364, 109.008569
213.615887, 628229.101944, 5107097.885057, 214.124203, 628126.230406, 5106950.969275, 0.508316, 179.351053
213.615887, 628229.101944, 5107097.885057, 213.912019, 628158.141672, 5106996.543287, 0.296132, 123.715458
218.647848, 628139.209665, 5107014.334312, 218.939872, 628067.071503, 5106911.310340, 0.292024, 125.769047
218.647848, 628262.166008, 5107099.169683, 219.111659, 628172.441242, 5106971.029437, 0.463811, 156.430356
222.493132, 628134.421698, 5107012.305404, 222.999513, 628023.603105, 5106856.583802, 0.506382, 191.128172
227.835868, 628260.884336, 5107102.356579, 228.127232, 628198.359590, 5107013.061987, 0.291364, 109.008569
180.000000, 628068.692372, 5107153.274535, 180.485350, 627998.913317, 5107054.957244, 0.485350, 120.562872
253.118533, 628099.561387, 5106986.649344, 253.602385, 627989.993853, 5106893.614474, 0.483852, 143.737718
266.404126, 628087.322036, 5107006.867062, 267.661092, 627816.615042, 5106783.445844, 1.256967, 350.997603
250.257108, 628077.216034, 5107017.632041, 250.765110, 627937.219574, 5106898.908923, 0.508003, 183.559766
240.000000, 628180.305418, 5106971.566841, 243.877215, 627840.221242, 5106692.684308, 3.877215, 439.809861
263.787253, 628187.952276, 5106949.039577, 264.130069, 628129.385372, 5106900.222137, 0.342816, 76.244505
244.557768, 627964.074115, 5106862.297518, 245.467507, 627725.039095, 5106700.477836, 0.909739, 288.657843
249.432907, 627983.329644, 5106827.100157, 249.888942, 627895.301770, 5106755.816591, 0.456035, 113.270708
313.743474, 628382.672458, 5107183.916073, 314.047497, 628282.308719, 5107164.407339, 0.304023, 102.242216
313.743474, 628201.944765, 5107627.976402, 314.500317, 627959.895714, 5107572.094976, 0.756843, 248.415936
313.743474, 628066.417025, 5107591.612167, 313.947029, 627993.538852, 5107574.786915, 0.203555, 74.795168
313.743474, 628069.954806, 5107486.069677, 314.382923, 627934.301712, 5107455.123932, 0.639449, 139.138064
313.743474, 627921.610502, 5107089.498623, 314.743553, 627709.724409, 5107042.987695, 1.000079, 216.930824
321.117994, 628088.073851, 5107626.709735, 321.767237, 627881.688826, 5107579.061997, 0.649244, 211.813799
321.117994, 627915.117643, 5107089.365209, 321.445385, 627826.791713, 5107068.973561, 0.327392, 90.649265
326.400063, 627947.771912, 5107376.874169, 326.675111, 627863.733110, 5107357.472283, 0.275048, 86.249368
331.797493, 628194.336082, 5107636.673747, 332.602462, 627941.927054, 5107578.400532, 0.804969, 259.048422
334.883377, 628501.716966, 5107385.113086, 335.189046, 628411.478807, 5107365.932374, 0.305669, 92.254133
334.883377, 628078.649359, 5107633.336473, 335.163086, 627985.211155, 5107611.764564, 0.279709, 95.896012
336.868781, 628392.358750, 5107181.535697, 337.113260, 628325.590495, 5107168.557263, 0.244479, 68.017937
342.726893, 628366.773609, 5107149.721472, 343.007534, 628280.270041, 5107132.906882, 0.280641, 88.122630
342.726893, 628523.780534, 5107418.985474, 343.276080, 628367.792395, 5107385.829171, 0.549187, 159.473007
347.649266, 628000.600959, 5107590.997511, 347.959084, 627902.016216, 5107568.237429, 0.309818, 101.177927
351.291588, 627729.229953, 5106827.510205, 351.908052, 627546.654944, 5106800.887184, 0.616464, 184.505879
351.291588, 628044.164365, 5107619.278151, 351.747316, 627903.328468, 5107586.763622, 0.455728, 144.540460
351.291588, 628080.521467, 5107470.011783, 351.931037, 627923.903834, 5107434.603103, 0.639449, 160.570412
351.291588, 627918.379864, 5107389.873161, 351.619094, 627840.594475, 5107371.914989, 0.327506, 79.831464
353.705942, 627915.098401, 5107391.248083, 354.033144, 627836.280750, 5107373.051594, 0.327202, 80.890879
355.980290, 628040.322989, 5107621.204899, 356.436018, 627899.487092, 5107588.690370, 0.455728, 144.540460
355.980290, 628038.086218, 5107513.843065, 356.480558, 627877.296062, 5107476.721733, 0.500268, 165.019597
355.980290, 628077.171689, 5107467.147107, 356.329489, 627979.393340, 5107445.100612, 0.349199, 100.232996
358.130415, 627905.512811, 5107003.171458, 359.313348, 627672.183061, 5106952.234891, 1.182933, 238.824844
328.413295, 627647.844474, 5106771.198500, 328.688888, 627576.880665, 5106759.861829, 0.275593, 71.863637
336.245687, 627639.680283, 5106790.719252, 336.950518, 627461.080792, 5106756.054850, 0.704831, 181.932403
338.836230, 627636.076769, 5106790.509173, 339.271454, 627526.271946, 5106771.993196, 0.435225, 111.355020
338.836230, 627636.076769, 5106790.509173, 339.125539, 627577.056495, 5106779.896156, 0.289309, 59.966898
300.000000, 627817.680904, 5106635.246695, 300.618886, 627543.047665, 5106590.409940, 0.618886, 278.269206
353.116546, 627693.452659, 5106847.143209, 353.455337, 627570.576233, 5106828.015381, 0.338791, 124.356303
328.009332, 627664.533847, 5106714.998527, 328.256747, 627564.170724, 5106698.517399, 0.247415, 101.707345
333.740026, 627691.348540, 5106665.463933, 333.969476, 627590.247458, 5106647.842311, 0.229450, 102.625291
339.595996, 627559.406724, 5106646.208361, 339.885241, 627502.961082, 5106633.176858, 0.289245, 57.930393
357.434727, 627651.433281, 5106737.144972, 357.848964, 627561.820573, 5106721.654143, 0.414238, 90.941757
360.000000, 628073.960230, 5107464.362745, 360.260894, 628040.135720, 5107461.997505, 0.260894, 33.907105
360.000000, 627907.053932, 5107392.948409, 360.545767, 627736.088593, 5107374.636430, 0.545767, 171.943234
360.000000, 627545.170478, 5106758.676432, 360.665009, 627413.811032, 5106744.869998, 0.665009, 132.083011
364.040216, 628011.550949, 5106791.829930, 364.474088, 627921.772328, 5106783.975319, 0.433872, 90.121560
364.040216, 627984.755642, 5107598.016343, 364.352612, 627906.455237, 5107592.541045, 0.312396, 78.491607
364.040216, 627932.640484, 5107612.006896, 364.871895, 627758.919062, 5107598.558775, 0.831679, 174.241168
364.040216, 627752.320352, 5106905.105426, 364.357119, 627614.411523, 5106902.698218, 0.316903, 137.929836
369.766918, 627923.248291, 5107531.748026, 370.394713, 627760.943241, 5107515.219574, 0.627795, 163.144473
376.167948, 627677.645793, 5106568.786375, 376.425342, 627606.508844, 5106563.811995, 0.257394, 71.310657
376.167948, 628026.183200, 5106789.694012, 376.471498, 627966.930667, 5106784.510087, 0.303550, 59.478868
376.167948, 628537.961251, 5107419.167471, 376.473617, 628456.296652, 5107412.022744, 0.305669, 81.976544
376.167948, 628080.236698, 5107702.034300, 376.683430, 627980.568891, 5107695.064848, 0.515482, 99.911185
376.167948, 627577.852128, 5106820.207898, 376.541474, 627506.155918, 5106812.672323, 0.373526, 72.091132
376.167948, 627586.408110, 5106785.393107, 376.782302, 627429.010605, 5106768.849962, 0.614354, 158.264495
376.167948, 627535.616641, 5106740.320946, 376.787280, 627368.404631, 5106722.746256, 0.619332, 168.133061
380.858952, 627879.566728, 5107610.776814, 381.172039, 627824.048119, 5107606.894575, 0.313087, 55.654180
380.858952, 627902.578125, 5106987.690308, 382.000875, 627701.755582, 5106968.797297, 1.141923, 201.709295
380.858952, 627902.578125, 5106987.690308, 381.206109, 627798.874673, 5106977.349632, 0.347157, 104.217731
387.794331, 627868.568269, 5107541.196768, 388.405222, 627666.478961, 5107517.758221, 0.610892, 203.443982
393.414570, 628297.261359, 5107763.520131, 393.986029, 628161.890715, 5107752.498480, 0.571458, 135.818586
393.414570, 628006.882035, 5107644.852392, 393.705317, 627948.637222, 5107640.779518, 0.290747, 58.387041
393.414570, 627864.910695, 5107538.548608, 393.781794, 627756.586826, 5107526.239790, 0.367224, 109.020951
398.082968, 627866.205029, 5107530.336778, 398.690256, 627679.466172, 5107508.783030, 0.607288, 187.978628
398.082968, 627588.794412, 5106880.250793, 398.325427, 627505.024960, 5106871.446269, 0.242459, 84.230878
411.175327, 628187.113231, 5107659.794468, 411.436222, 628124.950482, 5107655.447625, 0.260894, 62.314545
411.175327, 628089.410005, 5107717.812262, 411.719731, 627989.721637, 5107710.841372, 0.544404, 99.931797
411.175327, 628058.815458, 5107717.020896, 411.466691, 628022.107553, 5107714.454030, 0.291364, 36.797543
411.175327, 627909.058320, 5107653.337301, 411.497951, 627853.442201, 5107649.448243, 0.322623, 55.751928
411.175327, 627814.459497, 5107538.783212, 411.642620, 627654.827254, 5107519.182837, 0.467292, 160.831053
411.175327, 627914.195582, 5107148.253219, 411.481906, 627870.463486, 5107143.656791, 0.306579, 43.972985
411.175327, 627736.453668, 5106949.095793, 411.577047, 627613.149885, 5106938.308110, 0.401719, 123.774783
411.175327, 627676.829463, 5106923.287191, 411.679720, 627524.446149, 5106909.240114, 0.504393, 153.029392
416.517221, 627774.876087, 5107581.773551, 416.905496, 627641.656380, 5107570.118337, 0.388276, 133.728584
416.517221, 627899.717535, 5107500.491007, 416.914485, 627792.681497, 5107489.275709, 0.397265, 107.622007
